 [2022-06-30 12:57:36,508] INFO : Starting report generation
 [2022-06-30 12:57:36,566] INFO : created: dome-cicmts-202206.txt
 [2022-06-30 12:57:36,575] INFO : created: dome-cicmts-202206.html
 [2022-06-30 12:57:36,610] INFO : created report: dome-cicmts-202206.xlsx
 [2022-06-30 12:57:36,693] INFO : End of DRP CICMTS run
 [2022-07-27 18:49:16,877] INFO : DRP module CICMTS, version 0.2.3
 [2022-07-27 18:49:16,879] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/db/drp-prod.db
 [2022-07-27 18:49:16,889] INFO : starting data ingest
 [2022-07-27 18:49:16,890] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/r_cicmts/data_in
 [2022-07-27 18:49:16,892] INFO : ingesting file: comm-2207.csv
 [2022-07-27 18:49:16,905] INFO : Count of added rows to Community: 0
 [2022-07-27 18:49:16,913] INFO : Processed comm-2207.csv with 0 new rows added
 [2022-07-27 18:49:16,914] INFO : moved comm-2207.csv to completed directory
 [2022-07-27 18:49:16,914] INFO : ingesting file: coll-2207.csv
 [2022-07-27 18:49:16,951] INFO : Count of added rows to Collection: 1
 [2022-07-27 18:49:16,954] INFO : Processed coll-2207.csv with 1 new rows added
 [2022-07-27 18:49:16,954] INFO : moved coll-2207.csv to completed directory
 [2022-07-27 18:49:16,955] INFO : ingesting file: itct-2207.csv
 [2022-07-27 18:49:16,968] INFO : moved itct-2207.csv to completed directory
 [2022-07-27 18:49:16,968] INFO : Ingest complete
 [2022-07-27 18:49:16,968] INFO : Starting report generation
 [2022-07-27 18:49:17,037] INFO : created: dome-cicmts-202207.txt
 [2022-07-27 18:49:17,043] INFO : created: dome-cicmts-202207.html
 [2022-07-27 18:49:17,074] INFO : created report: dome-cicmts-202207.xlsx
 [2022-07-27 18:49:17,129] INFO : End of DRP CICMTS run
 [2022-08-30 15:05:39,208] INFO : DRP module CICMTS, version 0.2.3
 [2022-08-30 15:05:39,209] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/db/drp-prod.db
 [2022-08-30 15:05:39,214] INFO : starting data ingest
 [2022-08-30 15:05:39,215] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/r_cicmts/data_in
